Dénomination actuelle;Fondateur(s) / Dirigeant(s) / Point de contact;Contact email;Site internet;Siège social (département);Nombre de salariés;Chiffre d'affaires;Nombre d'utilisateurs;Accompagnement / Incubation;En recherche financement;Cumul levée de fonds;Type d'innovation;Type de produits / services;Sport ciblé;Type d’utilisateurs;Clientèle cible;Résumé;Type de structure;Dernière levée de fonds;Année de création;Siège social (pays);Cas d'usage;Clients / Références;Statut de la solution;Catégorisation;Intégration / Compatibilité;Stade de développement;Niveau d'implantation marché français;Caractéristiques clés / proposition de valeur;Page Linkedin;Modèle économique;Awards
Bitgym;Jon Walker, Guillermo Zunino;support@bitgym.com;https://www.bitgym.com/fr/;;01-oct;;NC (Plusieurs millions de téléchargements d'application);;;;Réalité Virtuelle / Réalité Augmentée, IoT / Trackers / Wearables;Application mobile/tablette (SaaS) de fitness immersif;Fitness, Cardio (course, vélo, elliptique);B2C;Sportif amateur, Fan / Supporter;Application permettant de réaliser des exercices de cardio (vélo, tapis) en s'immergeant dans des paysages réels filmés en haute définition (visites virtuelles).;Start-up;;2012;États-Unis;Rendre les entraînements cardio plus motivants et moins monotones grâce à l'immersion visuelle. Connexion aux équipements via capteurs.;Utilisateurs B2C dans le monde entier (NC);Actif;Athletes & performance, Fan Experience / Fan engagement, Médias / Streaming / OTT;Application iOS/Android, Connexion Bluetooth/ANT+ aux équipements cardio.;Établi;International;Immersion vidéo en haute définition pour le cardio, compatibilité universelle avec les équipements de fitness.;https://www.linkedin.com/company/bitgym/;Abonnement B2C (Mensuel/Annuel);
BlackTicket;Dino Mattioni, Arnaud Tonon, Lumena StartUp Studio;dino@blackticket.net;https://blackticket.net;Moselle (57);01-oct;<1 M€;0–100;SportTech;Non;1 M€;Web3 / Blockchain / Tokenisation;Plateforme de billetterie sécurisée (SaaS);Football, Rugby, Handball, Basketball, Tous sports;B2B;Fédération, Club professionnel, Organisateur événement / compétition;Sécuriser et valoriser les billets d’événements via une distribution innovante et traçable (NFT).;Start-up;;2022;France;Sécurité de la billetterie, traçabilité, lutte contre la fraude, monétisation secondaire.;;Actif;Billetterie / Ticketing / Hospitality, Sécurité & sûreté, Web3 / Blockchain / Tokenisation;API, Solution White Label;Phase de lancement/Commercialisation;National;Billetterie NFT qui garantit l'authenticité et la traçabilité des titres d'accès.;https://www.linkedin.com/company/blackticket;Commission sur vente, SaaS;
Boaton;Bertrand Gerbaud-Morlaes (Président);;https://www.boaton.fr/fr/;33 (Gironde);01-oct;;;Kedge Business Nursery, Unitec (Bordeaux);;;IoT / Trackers / Wearables, Innovation environnementale;Plateforme de services et carnet d'entretien connecté (bateaux);Nautisme / Plaisance;B2C, B2B;Sportif amateur, Entreprise;Application et plateforme pour optimiser la maintenance, la gestion et l'empreinte environnementale des bateaux.;Start-up;;2018;France;Gestion et maintenance de bateaux, éco-responsabilité;;Actif;Data & analytics, RSE & durabilité;Application mobile et web;Opérationnel / Croissance;National;Carnet d'entretien digital et connecté, gestion éco-responsable des bateaux.;;Abonnement/Services;
Bodyboomers International;;;http://www.bodyboomers.eu/;92 (Hauts-de-Seine);01-oct;;;;;;Innovation sociale / Inclusion;Conception et installation d'équipements sportifs et fitness de plein air;Fitness / Sport santé outdoor;B2B;Collectivité, Entreprise;Fournisseur d'équipements sportifs extérieurs pour favoriser l'activité intergénérationnelle et l'inclusion.;Autre (Fournisseur biens / services);;2006;France;Aménagement d'espaces sportifs extérieurs;Collectivités locales;Actif;Athletes & performance, RSE & durabilité;;Mature;National;Équipements de fitness extérieurs, intergénérationnels et inclusifs;;Vente d'équipement;
BODYO;Patrice Coutard, Achille Marchet, Dmitriy Stepanov;;https://bodyo.com/;06 (Alpes Maritimes);nov-50;;;Village by CA Provence Côte d'Azur;Non;;IoT / Trackers / Wearables, Intelligence artificielle / Machine Learning, Data / Analytics;Stations autonomes (kiosques) de télésanté et bilan de santé;Santé / Bien-être;B2B;Entreprise, Fournisseur biens / services (dont salles), Staff technique;Cabines de télésanté pour un bilan de santé et des téléconsultations en 6 minutes.;Start-up;;2016;France (Opérations à l'international: Dubaï);Prévention santé, bilan de performance;Des milliers de patients à Dubaï;Actif;Athletes & performance, Data & analytics;Intégration de capteurs médicaux et IA;Commercialisation;International (Base en France);Bilan de santé rapide, solution non invasive et autonome (Health Lounge, AIPod).;https://www.linkedin.com/company/bodyo/;Vente/Location de stations;
BOOKANDGOLF;Arnaud Zunz (Fondateur);;https://www.bookandgolf.com/;92 (Hauts-de-Seine);01-oct;;;;Non;;Data / Analytics;Centrale de réservation en ligne de green fees;Golf;B2C, B2B;Sportif amateur, Fournisseur biens / services (dont salles);Plateforme de réservation de départs de golf à prix négociés.;Start-up;;2010;France;Optimisation du remplissage des parcours de golf;FFGolf (via Kady App);Actif;Gestion / Management, Marketplace;App Kady de la FFGolf;Opérationnel;National;Réservation en ligne simple et rapide de green fees, tarifs négociés.;;Commission sur ventes;
BOUGE;Laurent Tulpan (Fondateur de Bouge Ma Ville), Mehdi SAVARY (CEO actuel);;https://www.maville-bouge.fr/;;01-oct;;;;;;Innovation sociale / Inclusion, Data / Analytics;Application mobile et plateforme Saas pour les collectivités;Multisports / Sport Santé;B2B2C;Collectivité, Sportif amateur;Application civique pour les collectivités visant à promouvoir l'activité physique et le sport local, et à gérer l'engagement citoyen.;Start-up;;2013;France;Promotion de l'activité physique locale, gestion des équipements;;Actif;Gestion / Management, RSE & durabilité;Application iOS/Android, plateforme web;Opérationnel;National;Outil de CRM citoyen et cartographie sportive pour les villes.;;Abonnement Saas (Collectivités);
BOX EVERYWHERE;;;https://boxeverywhere.com/;;;;;;;;Data / Analytics;Annuaire et référencement de Box de CrossFit;CrossFit;B2C, B2B;Sportif amateur, Fournisseur biens / services (dont salles);Annuaire en ligne permettant de localiser et de trouver des Box de CrossFit en France.;;;;France;Mise en relation entre pratiquants et salles de sport;438 Box de CrossFit référencées (2024);Actif;Gestion / Management, Fan Experience / Fan engagement;;Opérationnel;National;Référencement des Box de CrossFit en France.;;;
Braimia;Frédéric Valette, Pierre-Jacques Lyon;fv@braimia.com;https://www.braimia.com;Bouches-du-Rhône (13);01-oct;<1 M€;101–500;SportTech;Oui;0;Intelligence artificielle / Machine Learning;Assistant IA pour la création de contenu (textuel, vidéo, vocal) sur le bien-être (SaaS);Tous sports;B2B;Club professionnel, Sportif professionnel, Entreprise (wellness);Rendre l’IA générative accessible pour la communication et le coaching lié au bien-être et à la santé.;Start-up;;2022;France;Génération de contenu personnalisé pour les coachs et plateformes de bien-être.;;Actif;Gestion / Management, Intelligence artificielle / Machine Learning;API, SaaS Web;Développement / Lancement;National;IA générative adaptée aux besoins des professionnels du bien-être et du sport-santé.;https://www.linkedin.com/company/braimia;Abonnement (SaaS);
Bsport;Zakaria Mansour, Sofian Medbouhi, Marc Capelo;contact@bsport.io;https://pro.bsport.io;Paris (75);51–250;>10 M€;>100 000;SportTech;Non;35 M€;Intelligence artificielle / Machine Learning, Data / Analytics;Logiciel de gestion et marketing pour les studios de sport et bien-être (SaaS);Fitness, Wellness (Yoga, Pilates, etc.);B2B;Fournisseur biens / services (dont salles), Entreprise;Plateforme marketing et gestion pour acteurs du fitness et du bien-être (réservation, paiement, CRM, marketing).;Éditeur;35 M€ (Janv 2024 - Série A);2020;France;Gestion intégrale des studios (planning, clients, facturation), Fidélisation client par l'IA.;;Actif;Gestion / Management, Data & analytics;SaaS Web, Application mobile, API (intégration paiement, marketing);Phase de croissance/Établi;International;Logiciel complet de gestion de studios, s'appuyant sur l'IA pour l'analyse prédictive et la croissance.;https://www.linkedin.com/company/bsport-online;Abonnement (SaaS);
Bucked Games Dijital Oyun Teknolojileri;;contact@buckedgames.com;buckedgames.com;Beyoglu, Istanbul;01-oct;;;;Non;500 000 $;Innovation technologique;Studio de création de jeux éducatifs et casuals (Math Space, Count with Bucked, etc.).;N/A (Jeu éducatif généraliste);B2C;Fan / Supporter;Bucked Games est spécialisé dans la création de jeux éducatifs et casuals qui mêlent apprentissage et divertissement. Leur portfolio comprend une variété de titres conçus pour offrir aux joueurs un moyen engageant de développer leurs compétences en mathématiques et en logique.;Start-up;500 000 $;2021;Turquie;Divertissement éducatif et développement de compétences logiques via le jeu.;Enfants, parents, éducateurs;Actif;Gaming / Fantasy / Esport;Application mobile, plateforme web;Établi;Faible;Fusionner l'éducation et le jeu pour rendre l'apprentissage plus amusant et accessible.;https://www.linkedin.com/company/bucked-games/;Achats in-app, Publicité;
Burn Controllers;Un pool d’associés;sylvainvachier@gmail.com;https://burn-controllers.com;Bouches-du-Rhône (13);01-oct;<1 M€;2 501–10 000;SportTech;;1 M€;Automatisation / Robotique (Personnalisation);Produit physique (Manettes de jeu personnalisées);Esport;B2C;Sportifs amateurs, Sportif professionnel, Fan / Supporter;Personnalisation innovante de manettes pour gamers (design, performances techniques).;PME / Fabricant;;2011;France;Vente et personnalisation de périphériques de jeu pour la performance.;;Actif;Gaming / Fantasy / Esport, Retail & merchandising;Configurateur en ligne;Établi;National;Manettes professionnelles et personnalisables pour améliorer les performances en Esport.;https://www.linkedin.com/company/burn-controllers;E-commerce / Vente de produits;
Bv Sport;Salvatore Corona, Thomas Corona, deux médecins fondateurs;;https://www.bvsport.com/fr/;42 (Loire);nov-50;;;;Non;;IoT / Trackers / Wearables (textile technique), Technologique;Articles chaussants et vêtements de compression sélective brevetée;Multisports (Running, Trail, Cyclisme);B2C, B2B;Sportif amateur, Sportif professionnel, Staff technique;Conception et fabrication d'équipements de compression sportive basés sur une technologie brevetée pour optimiser la performance et la récupération.;PME/Autre (Fournisseur biens / services);;1998;France;Amélioration de la performance, prévention des blessures, récupération;NC (Sponsors d'athlètes);Actif;Athletes & performance, Retail & merchandising;;Mature;International (Base en France);Compression sélective brevetée, R&D scientifique;https://www.linkedin.com/company/bv-sport/;Vente de produits (Retail);
Cabesto;Hervé Danilo (Président);;https://www.cabesto.com/;13 (Bouches-du-Rhône);101-250;;;;Non;;NC (Détaillant);Commerce de détail d'articles de sport outdoor (magasins physiques et e-commerce);Nautisme, Plongée, Pêche, Randonnée, Montagne;B2C, B2B;Sportif amateur, Entreprise;Détaillant d'articles de sport spécialisé dans les activités outdoor et l'univers de la mer.;Autre (Détaillant);;2002;France;Vente d'équipement sportif et de loisirs;Ancienne filiale Décathlon;Actif;Retail & merchandising;Site e-commerce (Magento);Mature;National;Spécialiste des sports outdoor et de l'univers de la mer.;https://www.linkedin.com/company/cabesto/;Vente de produits (Retail);
Castore;Tom Beahon, Phil Beahon (Fondateurs);;castore.com;Manchester (Siège social opérationnel), UK;500+ (Estimation);;;;Oui (continue à croître);;IoT / Trackers / Wearables, Innovation technologique (Textile);Vêtements et équipements de sport haut de gamme, utilisant des technologies avancées (impression 3D, nano soudure).;Multisport (Football, Tennis, Cricket, Formule 1);B2C (Athlètes, Consommateurs) & B2B (Équipes);Sportif professionnel, Sportif amateur, Club professionnel;Marque britannique de vêtements de sport mettant l'accent sur l'excellence technique et l'innovation pour améliorer la performance des athlètes.;Marque / Fournisseur biens / services;;2015;Royaume-Uni;Fourniture d'équipements techniques pour les athlètes de haut niveau et les clubs professionnels.;Rangers FC, Newcastle United, McLaren F1, Équipes nationales;Actif;Athletes & performance, Retail & merchandising, IoT / Trackers / Wearables;Technologie de coupe laser et de soudure avancée intégrée aux textiles techniques.;Établi;Moyenne (via les clubs);Améliorer les performances des athlètes grâce à l'excellence de l'ingénierie des vêtements de sport et à la technologie.;https://www.linkedin.com/company/castore/;Vente directe (DTC), Partenariats clubs;
Ceclo;Julien TONDINI (Fondateur & CEO);N/A (Formulaire de contact disponible);https://www.ceclo-experience.fr/;06 (Alpes-Maritimes);01-oct;;;;Non;;Innovation technologique;Vélos nautiques (Pédalos) de luxe à assistance électrique (e-pedalos).;Sports nautiques (Loisir), Cyclisme;B2B, B2C;Fournisseur biens / services (dont salles), Entreprise, Sportif amateur;Ceclo conçoit et commercialise des vélos nautiques (e-pedalos) haut de gamme et design, équipés d'une assistance électrique. Ces embarcations de loisir nautique sont destinées à la location, à l'hôtellerie de luxe ou aux particuliers.;Start-up;;2017;France;Loisir nautique, tourisme, activité de plein air sans permis.;Hôtels de luxe, loueurs de plages, resorts, particuliers fortunés;Actif;Retail & merchandising;Motorisation électrique intégrée, matériaux composites;Établi;International;Pédalo réinventé : design, stable, silencieux et équipé d'une assistance électrique pour une navigation sans effort.;https://www.linkedin.com/company/ceclo/;Vente de produits (B2B/B2C);
Champ’s;Stéphane Gaultier, Thierry Magnien;contact@champs.fr;https://champs.fr;Yvelines (78);01-oct;<1 M€;>100 000;SportTech;Oui;3 M€;Intelligence artificielle / Machine Learning, Médias / Streaming / OTT;Plateforme de streaming et valorisation de contenus sportifs (SaaS);Tous sports;B2B, B2B2C;Fédération, Club amateur / Association, Ligue / Comité, Média, Fan / Supporter;Diffuser et monétiser les compétitions sportives amateurs via vidéo + data (Live & VOD).;Start-up;;2018;France;Production vidéo automatisée, diffusion OTT, monétisation des compétitions non professionnelles.;Fédérations (ex: FFHB), Ligues, Clubs;Actif;Médias / Streaming / OTT, Data & analytics, Fan Experience / Fan engagement;Caméras AI, Plateforme Web, App mobile;Phase de commercialisation;National;Solution complète pour produire, diffuser et monétiser le sport amateur et semi-professionnel.;https://www.linkedin.com/company/champs-fr;Abonnement (B2B), Partage de revenus publicitaires;
Chipiron;Corentin Le Guen (Fondateur);hello@chipiron.fr;https://www.chipiron.fr/;64 (Pyrénées-Atlantiques);01-oct;;;Accompagnement BPI France, aides Nouvelle-Aquitaine;Non;NC (Autofinancement);Innovation environnementale, IoT / Trackers / Wearables, Innovation sociale / Inclusion;Hardware (Planches de surf, Ailerons) & Service (Ateliers de shaping);Surf, Sports de glisse nautique;B2C;Sportif amateur, Sportif professionnel, Fan / Supporter;Chipiron conçoit et fabrique des planches de surf et des accessoires axés sur la durabilité, l'éco-conception et la performance. L'innovation est centrée sur des systèmes connectés pour le suivi de la performance des surfeurs (ailerons connectés) et des planches écologiques.;Start-up;Information publique non disponible (autofinancement et aides régionales);2014;France;Fournir un équipement performant et durable. Permettre l'analyse des sessions de surf pour l'amélioration technique.;Vente directe B2C, surfshops spécialisés, athlètes locaux.;Actif;Athletes & performance, RSE & durabilité;Application mobile (pour l'usage connecté).;Produits commercialisés;Très forte (Ancrage dans le Pays Basque);Planches fabriquées avec des matériaux durables et biosourcés, fabrication française, offre de planches de surf connectées pour le suivi des sessions.;https://www.linkedin.com/company/chipironsurfboards/;Vente directe de planches et accessoires (B2C), Services de customisation.;Finaliste/Lauréat concours éco-conception
CHIRON IT;Gilles MULLER (Président);contact@chiron-it.com;https://chiron-it.com/;59 (Nord);01-oct;;;;Non;;Data / Analytics;Conseil et intégration en services IT;Football, Multisports (Clubs sportifs);B2B;Club professionnel, Club amateur / Association, Fédération;Société de conseil et de services informatiques spécialisée dans la transformation numérique des clubs sportifs et des entreprises.;Start-up;;2021;France;Gestion des infrastructures IT, sécurité des données, adoption d'outils numériques pour les clubs;Clubs sportifs professionnels (NC);Actif;Gestion / Management, Data & analytics;Intégration de solutions tierces;Croissance;National;Expertise dans le secteur sportif, conseil IT sur mesure.;https://www.linkedin.com/company/chiron-it/;Prestations de conseil et de services (B2B);
Circle Sportswear;Romain Trebuil & Alexia de Moustier (Co-fondateurs);hello@circlesportswear.com;https://circlesportswear.com/;75 (Paris);01-oct;;;;Non;480 000 € (Seed, 2021);Innovation environnementale;Vêtements de sport techniques et éco-responsables;Running, Fitness, Lifestyle;B2C;Sportif amateur, Fan / Supporter;Marque de sportswear française concevant des vêtements durables, recyclables et fabriqués à partir de matières recyclées ou biosourcées.;Start-up;480 000 € ;2018;France;Fournir un équipement sportif de haute performance et durable (économie circulaire).;BPI France, Galeries Lafayette;Actif;Retail & merchandising, RSE & durabilité;E-commerce, points de vente physiques;Commercialisation;National et Européen;Vêtements techniques issus de l'économie circulaire, 100% recyclables, durables.;https://www.linkedin.com/company/circle-sportswear/;Vente directe (DTC - E-commerce);
CIRCULAR;NC (Dirigeants trouvés: Pierre-Marie & Matthieu);hello@circular.xyz;https://www.circular.xyz/;75 (Paris);01-oct;;;;Non;780 000 € (Seed, 2023);Web3 / Blockchain / Tokenisation, Innovation sociétale / Gouvernance Responsable;Plateforme SaaS de traçabilité et de passeport numérique produit (PDP);Multisports (Traçabilité);B2B;Entreprise, Fournisseur biens / services (dont salles);Plateforme SaaS utilisant la Blockchain et le Web3 pour créer des passeports numériques pour les produits, assurant traçabilité, durabilité et seconde vie (économie circulaire).;Start-up;780 000 € ;2020;France;Traçabilité des produits pour l'économie circulaire et le droit à l'information (DPEF);;Actif;Web3 / Blockchain / Tokenisation, RSE & durabilité;Plateforme SaaS, API;Croissance;International (Base en France);Passeport Numérique Produit (PDP), traçabilité par Web3/Blockchain, engagement pour la durabilité.;https://www.linkedin.com/company/circular-passports/;Abonnement Saas B2B;
Cispé;Pierre-Yves LEROY (Gérant);contact@cispe.fr;https://www.cispe.fr/;85 (Vendée);01-oct;;;;Non;;NC (Conseil et Audit);Conseil, Audit et Formation en Prévention des Risques (QSE);Multisports (Équipements et organisations sportives);B2B;Club professionnel, Club amateur / Association, Fédération, Organisateur événement / compétition;Cabinet de conseil spécialisé en Prévention des Risques Professionnels (Qualité, Sécurité, Environnement) pour les entreprises et les structures sportives.;Autre (Cabinet de Conseil);;2010;France;Conseil et accompagnement à la sécurité des infrastructures et des événements sportifs;Clubs, Écoles, Collectivités territoriales (NC);Actif;Gestion / Management, RSE & durabilité, Sécurité & sûreté;;Établi;National;Expertise QSE spécifique au secteur sportif et événementiel.;https://www.linkedin.com/company/cispe/|NC;Prestations de conseil et d'audit;
CityLegends;Jeremy Van De Pol (CEO);info@citylegends.nl;www.citylegends.io;Eindhoven, Noord-Brabant;01-oct;1M à 10M $;;Incubateur (Hollande);Non;4 233 162 $;Innovation sociale / Inclusion, Fan Experience / Fan engagement;Application communautaire et carte interactive pour les sports urbains.;Sports Urbains (Skate, Parkour, Breakdance);B2C, B2B;Sportif amateur, Collectivité, Sponsor / Mécène;CityLegends est une plateforme sociale et de cartographie interactive qui connecte les athlètes de sports urbains avec des spots d'entraînement, des événements et des communautés, favorisant l'inclusion et la pratique sportive en milieu urbain.;Start-up;4 233 162 $;2020;Pays-Bas;Trouver de nouveaux spots de pratique, se connecter avec d'autres athlètes, organiser des événements de sports urbains.;Athlètes de rue, marques, municipalités;Actif;Fan Experience / Fan engagement, Gestion / Management;Application mobile, géolocalisation des spots, outils communautaires;Établi;Faible;L'application indispensable pour la communauté mondiale des sports urbains (trouver, partager, rencontrer).;https://www.linkedin.com/company/citylegends/;Abonnement (B2B pour marques/villes), Publicité/Partenariats;
CLIC-IT;Franck CHEVALLIER (Fondateur et Dirigeant);nc (Formulaire de contact);https://www.clic-it.eu/;74 (Haute-Savoie);01-oct;;;;Non;;IoT / Trackers / Wearables (Mousqueton technique), Technologique;Mousqueton à verrouillage automatique breveté;Escalade, Via Ferrata, Parcours Acrobatiques;B2B, B2C;Sportif amateur, Fournisseur biens / services (dont salles);Système de sécurité breveté (mousqueton) pour les parcours d'escalade et d'aventure, assurant qu'un seul mousqueton peut être déverrouillé à la fois.;Start-up;;2014;France;Sécurisation des pratiquants sur les parcours acrobatiques;Parcours Aventure, Via Ferrata (NC);Actif;Sécurité & sûreté, Retail & merchandising;Hardware mécanique;Commercialisation;International (Base en France);Sécurité unique (impossibilité de se détacher complètement), breveté et certifié.;https://www.linkedin.com/company/clic-it/;Vente de produits physiques;
CLIM8;Hamid Ghanadan, Florian Mure (Co-fondateurs);nc (Formulaire de contact);https://myclim8.com/;38 (Isère);nov-50;;;Bpifrance, French Tech (Grenoble);Non;6 500 000 € ;IoT / Trackers / Wearables, Intelligence artificielle / Machine Learning;Technologie de régulation thermique intégrée (textile chauffant);Sports Outdoor (Ski, Chasse, Moto);B2B;Entreprise, Fournisseur biens / services (dont salles);Technologie textile intelligente et auto-régulée qui ajuste la température de l'utilisateur grâce à des capteurs, assurant un confort optimal.;Start-up;1 500 000 € (2019);2016;France;Licence de technologie pour l'intégration dans des vêtements (partenariats B2B);Rossignol, JRC, Aigle, Eider, Julbo (via partenariats);Actif;Athletes & performance, IoT / Trackers / Wearables;Intégration de capteurs et d'éléments chauffants dans des textiles;Commercialisation (Licence B2B);International (Base en France);Régulation thermique intelligente et automatique, adaptée à la physiologie et aux conditions extérieures.;https://www.linkedin.com/company/clim8/;Licence de technologie (B2B);CES Innovation Awards
Codyfight;;info@codyfight.com;codyfight.com/;Vilnius, Vilniaus Apskritis;nov-50;$1M to $10M;;;Non;N/A (Seed round en 2022);Intelligence artificielle / Machine Learning, Gaming / Fantasy / Esport;Plateforme de jeu compétitif où les utilisateurs codent et déploient des bots d'IA pour se battre (AI Coding Game).;Esport, Coding Games;B2C;Fan / Supporter, Sportif amateur;Codyfight est un jeu compétitif où les joueurs codent leurs propres bots d'IA pour s'affronter dans des arènes. La plateforme combine le codage et le jeu pour une expérience unique.;Start-up;;2020;Lituanie;Compétitions de codage et d'IA, apprentissage par le jeu.;Communauté de développeurs, joueurs Esport/coding;Actif;Gaming / Fantasy / Esport, Intelligence artificielle / Machine Learning;Plateforme en ligne, intégration avec langages de programmation;Établi;Faible;Jeu de codage compétitif unique qui permet aux utilisateurs de construire, entraîner et faire s'affronter des bots d'IA.;https://www.linkedin.com/company/codyfight/;Abonnement, Achats in-game;
COLIZEY;Maxime Maffini-Scialom (Président);contact@colizey.com;https://colizey.fr/;78 (Yvelines);21-50;;;;Non;NC (Importantes levées de fonds antérieures);Data / Analytics;Marketplace de produits et équipements sportifs;Multi-sports;B2B2C;Sportif amateur, Fan / Supporter;Colizey est une marketplace spécialisée dans le sport, permettant aux marques, distributeurs et boutiques de vendre leurs produits en ligne, offrant un catalogue très large.;Start-up;;2018;France;Acheter tous types de produits sportifs en ligne via une plateforme centralisée.;Marques et distributeurs sportifs (B2B);Actif;Marketplace, Retail & merchandising;Plateforme e-commerce;Commercialisation;Très forte;Marketplace verticale dédiée au sport, catalogue de marques large.;https://fr.linkedin.com/company/colizey/;Commission sur les ventes (Marketplace);
Content Stadium;Peter van Oosterhout (CEO);NC (Formulaire de contact);https://www.contentstadium.com/;;nov-50;;;;Non;;Automatisation / Robotique;Plateforme SaaS pour la création de contenu de médias sociaux (templates);Football, Multisports (Clubs, Ligues);B2B;Club professionnel, Ligue / Comité, Média;Plateforme SaaS qui permet aux clubs sportifs, ligues et médias de créer rapidement et facilement du contenu visuel de marque pour les réseaux sociaux.;Start-up / Éditeur;;2014;Pays-Bas;Augmenter l'engagement des fans sur les réseaux sociaux en produisant du contenu de qualité rapidement et à grande échelle.;FC Barcelone, UEFA, FIFA, NBA;Actif;Fan Experience / Fan engagement, Médias / Streaming / OTT;SaaS, Intégration API avec des sources de données;Commercialisation;Forte (International);Création de contenu visuel de marque en temps réel et à grande échelle.;https://www.linkedin.com/company/contentstadium/;Abonnement SaaS B2B;
Coolrool;Thomas Rung, Florence Roux-Christmann;info@coolrool.com;https://coolrool.com;Ardennes (08);01-oct;<1 M€;2 501–10 000;SportTech;Oui;0;Innovation environnementale, Innovation sociale / Inclusion;Application de covoiturage sportif (SaaS/App mobile);Tous sports;B2B, B2B2C;Club amateur / Association, Fédération, Collectivité;Faciliter le covoiturage sportif et réduire l’empreinte carbone des déplacements liés au sport.;Start-up;;2021;France;Organisation du covoiturage pour les entraînements et compétitions, RSE.;;Actif;RSE & durabilité, Innovation sociale / Inclusion;Application mobile iOS/Android, Partenariat avec les clubs/fédérations;Phase de commercialisation;National;Solution de covoiturage dédiée au sport, simple et engageante pour l'écologie.;https://www.linkedin.com/company/coolrool;Abonnement (B2B - Clubs/Fédérations);
COSM (Immersiv);Jeb Balise (CEO);NC (Formulaire de contact);https://www.cosm.com/;;101-250;;;;Oui;;Réalité Virtuelle / Réalité Augmentée;Expériences immersives (Dômes, Spectacles 8K, Réalité Mixte);Multisports (Événements);B2B, B2C;Organisateur événement / compétition, Média, Fan / Supporter;COSM crée des plateformes technologiques et des lieux physiques (dômes) pour diffuser des expériences immersives en direct, notamment des événements sportifs en réalité augmentée.;Start-up / Tech Company;;2020 (COSM, après fusion);États-Unis;Diffuser des événements sportifs en direct sur des écrans sphériques (dômes) pour une expérience immersive unique.;Ligues sportives majeures (NBA, NHL);Actif;Fan Experience / Fan engagement, Réalité Virtuelle / Réalité Augmentée, Médias / Streaming / OTT;Dômes géodésiques, Plateforme de streaming immersif;Commercialisation;Faible (Déploiement Dômes);Expérience immersive 8K en direct, fusion du monde réel et virtuel.;https://www.linkedin.com/company/cosm/;Vente de solutions (B2B), Billetterie (B2C);
Coureurs;Albéric Aubron, Henri Ternon;alberic@coureurs.club;http://coureurs.club;Loire-Atlantique (44);01-oct;<10 M€;>100 000;SportTech;Non;0;IoT / Trackers / Wearables, Data / Analytics;Animations interactives basées sur des capteurs (Produit physique/Service);Course à pied;B2B;Entreprise, Organisateur événement / compétition, Sponsor / Mécène;Concevoir des animations sportives fun et engageantes pour événements B2B ou grand public (basées sur la vitesse de course).;Start-up;;2018;France;Animation événementielle, mesure de la performance instantanée, engagement des participants.;;Actif;Fan Experience / Fan engagement, IoT / Trackers / Wearables;Capteur radar, Écrans connectés, Logiciel;Établi;National;Animations sportives interactives et mesurables pour maximiser l'impact événementiel.;https://www.linkedin.com/company/coureurs-club;Prestation de services (location/événement);
CRED;Mark ROSSI;hello@credinvestments.com;credplatform.com;Londres, Angleterre;nov-50;;;;Non;15 000 000 $ (estimation);Intelligence artificielle / Machine Learning, Data / Analytics;Logiciel d'intelligence prédictive (SaaS B2B);;B2B;Entreprise;CRED fournit un logiciel d'intelligence prédictive qui permet aux entreprises de prendre des décisions basées sur les données en intégrant des systèmes internes avec des signaux de marché externes en temps réel. Notre plateforme combine des données en temps réel sur plus de 200 millions d'entreprises avec des modèles prédictifs pour aider les entreprises à identifier les prospects qui convertiront, les clients qui pourraient partir, et quand les concurrents sont vulnérables.;Start-up;15 000 000 $;2023;Royaume-Uni;Aide à la décision stratégique, prédiction de la performance commerciale et des risques de désabonnement (churn).;;Actif;Data & analytics;Plateforme SaaS avec intégration de systèmes d'entreprise;Jeune entreprise;Faible;Logiciel d'IA pour des décisions basées sur les données en temps réel du marché.;https://www.linkedin.com/company/credplatform/;Abonnement (SaaS B2B);
Cryo Control;Bertrand Avignon;bertrand@cryocontrol.fr;https://cryocontrol.fr;Haute-Garonne (31);01-oct;1–10 M€;501–2 500;;Oui;100 000 € ;Innovation technologique (Autonomie);Produit physique (Bains froids autonomes);Tous sports;B2B;Fédération, Club professionnel, Sportif professionnel, Staff technique;Fabricant de bains froids autonomes pour récupération et cryothérapie sportive.;PME / Fabricant;;2014;France;Récupération post-effort, Cryothérapie, Bien-être des athlètes.;Clubs professionnels (Football, Rugby, etc.), Centres de kinésithérapie;Actif;Athletes & performance;Bains froids autonomes, Systèmes de filtration et refroidissement;Établi;International;Bains froids autonomes, portables et brevetés pour une récupération optimale.;https://www.linkedin.com/company/cryocontrol;Vente de produits, Location;
CURVWAY;Pierre Marabese (Président);contact@curvway.com;https://www.curvway.com/;69 (Rhône);01-oct;;;;Non;;Technologique;Surf terrestre électrique (Hardware);Surf, Sports de glisse nautique;B2C;Sportif amateur;Conception et commercialisation d'un surf terrestre électrique, un produit innovant pour retrouver les sensations du surf et du snowboard en l'absence de vagues ou de neige.;Start-up;;2020;France;S'entraîner ou pratiquer un sport de glisse sur tous types de terrains plats.;;Actif;Retail & merchandising;Hardware;Commercialisation;Faible;Surf terrestre électrique, innovation technique, produit pour la glisse hors saison.;https://www.linkedin.com/company/curvway/;Vente directe de produit (B2C);
